Name,Date,Open,Hign,Low,Close,Volume
MSFT,4/2/2018 16:00:00,90.47,90.88,87.51,88.52,48515417
MSFT,4/3/2018 16:00:00,89.58,90.05,87.89,89.71,37213837
MSFT,4/4/2018 16:00:00,87.85,92.76,87.73,92.33,35559956
MSFT,4/5/2018 16:00:00,92.44,93.07,91.4,92.38,29771881
MSFT,4/6/2018 16:00:00,91.49,92.46,89.48,90.23,38026000
MSFT,4/9/2018 16:00:00,91.04,93.17,90.62,90.77,31533943
MSFT,4/10/2018 16:00:00,92.39,93.28,91.64,92.88,26939883
MSFT,4/11/2018 16:00:00,92.01,93.29,91.48,91.86,24872110
MSFT,4/12/2018 16:00:00,92.43,94.16,92.43,93.58,26758879
MSFT,4/13/2018 16:00:00,94.05,94.18,92.44,93.08,23346063
MSFT,4/16/2018 16:00:00,94.07,94.66,93.42,94.17,20288083
MSFT,4/17/2018 16:00:00,95,96.54,94.88,96.07,26771000
MSFT,4/18/2018 16:00:00,96.22,96.72,95.52,96.44,21043287
MSFT,4/19/2018 16:00:00,96.44,97.07,95.34,96.11,23552541
MSFT,4/20/2018 16:00:00,95.91,96.11,94.05,95,31154377
MSFT,4/23/2018 16:00:00,95.74,96.29,94.63,95.35,22331829
MSFT,4/24/2018 16:00:00,96.24,96.47,92.41,93.12,34524799
MSFT,4/25/2018 16:00:00,93.3,93.3,90.28,92.31,33729257
MSFT,4/26/2018 16:00:00,93.55,95.15,93.1,94.26,42529043
MSFT,4/27/2018 16:00:00,97.6,97.9,93.91,95.82,48272780
MSFT,4/30/2018 16:00:00,96.33,96.4,93.15,93.52,41523605
MSFT,5/1/2018 16:00:00,93.21,95.29,92.79,95,31408927
MSFT,5/2/2018 16:00:00,94.99,95.17,93.19,93.51,27471002
MSFT,5/3/2018 16:00:00,92.96,94.93,92.45,94.07,31142497
MSFT,5/4/2018 16:00:00,93.32,95.37,92.92,95.16,22531325
MSFT,5/7/2018 16:00:00,95.17,96.71,95.1,96.22,24242019
MSFT,5/8/2018 16:00:00,95.85,96.16,95.06,95.81,23484589
MSFT,5/9/2018 16:00:00,96.01,96.97,95.05,96.94,27327410
MSFT,5/10/2018 16:00:00,97.46,97.95,97.05,97.91,22388119
MSFT,5/11/2018 16:00:00,97.8,97.87,97.04,97.7,16778316
MSFT,5/14/2018 16:00:00,97.92,98.69,97.31,98.03,19454124
MSFT,5/15/2018 16:00:00,97.24,97.85,96.34,97.32,24594010
MSFT,5/16/2018 16:00:00,97.36,97.4,96.62,97.15,17384742
MSFT,5/17/2018 16:00:00,96.76,97.54,95.83,96.18,17246716
MSFT,5/18/2018 16:00:00,96.01,96.93,96.01,96.36,17865840
MSFT,5/21/2018 16:00:00,97,98.01,96.8,97.6,19422467
MSFT,5/22/2018 16:00:00,97.68,98.17,97.2,97.5,15441189
MSFT,5/23/2018 16:00:00,96.71,98.73,96.32,98.66,21251222
MSFT,5/24/2018 16:00:00,98.73,98.94,96.81,98.31,26649287
MSFT,5/25/2018 16:00:00,98.3,98.98,97.86,98.36,18363918
MSFT,5/29/2018 16:00:00,97.84,98.88,97.23,98.01,28670981
MSFT,5/30/2018 16:00:00,98.31,99.25,97.91,98.95,22158528
MSFT,5/31/2018 16:00:00,99.29,99.99,98.61,98.84,34140891
MSFT,6/1/2018 16:00:00,99.28,100.86,99.17,100.79,28655624
MSFT,6/4/2018 16:00:00,101.26,101.86,100.85,101.67,27281623
MSFT,6/5/2018 16:00:00,102,102.33,101.53,102.19,23514402
MSFT,6/6/2018 16:00:00,102.48,102.6,101.9,102.49,21122917
MSFT,6/7/2018 16:00:00,102.65,102.69,100.38,100.88,28232197
MSFT,6/8/2018 16:00:00,101.09,101.95,100.54,101.63,22165128
MSFT,6/11/2018 16:00:00,101.37,101.59,100.67,101.05,23490894
MSFT,6/12/2018 16:00:00,101.1,101.45,100.75,101.31,18325228
MSFT,6/13/2018 16:00:00,101.72,102.01,100.56,100.85,29492875
MSFT,6/14/2018 16:00:00,101.65,102.03,101,101.42,25691811
MSFT,6/15/2018 16:00:00,101.51,101.53,100.07,100.13,65738585
MSFT,6/18/2018 16:00:00,100.01,101.11,99.42,100.86,23586037
MSFT,6/19/2018 16:00:00,99.65,101,99.5,100.86,28653087
MSFT,6/20/2018 16:00:00,101.37,102.52,101.12,101.87,26180792
MSFT,6/21/2018 16:00:00,102.08,102.46,100.88,101.14,23198188
