UserId,StockName,buy/sell,Price,Volume,Status
51,ITC,buy,2226,2506,Success
87,TATA MOTORS,buy,1922,7961,Success
16,AAPL,sell,1703,330,Success
10,ITC,buy,2368,8914,Success
79,ACN,sell,945,8435,Abort
15,MSFT,buy,619,8881,Success
48,MSFT,buy,365,771,Abort
25,ACN,sell,24,8632,Abort
50,RELIANCE,sell,1556,9228,Success
95,SBIN,sell,1332,8860,Success
50,tsla,sell,555,3644,Success
78,AAPL,buy,410,8182,Abort
40,ACN,sell,1913,7485,Success
99,HDFC BANK,sell,1279,2478,Abort
92,HDFC BANK,sell,2198,4009,Success
40,AMZN,buy,2058,8382,Abort
89,HDFC BANK,buy,2432,8586,Abort
82,SBIN,sell,99,4105,Abort
86,SBIN,buy,1372,3306,Abort
0,TATA MOTORS,sell,1399,6138,Success
81,ACN,sell,2277,6375,Success
94,ACN,buy,632,6868,Success
74,ACN,sell,502,3011,Abort
1,ITC,buy,1488,6974,Success
68,tsla,buy,2333,5465,Success
11,HDFC BANK,sell,812,6758,Abort
13,AAPL,sell,109,8151,Abort
79,AAPL,buy,718,5341,Success
95,ACN,sell,1461,9836,Abort
59,ITC,buy,1367,9729,Success
49,TATA MOTORS,buy,96,6416,Abort
23,HDFC BANK,sell,279,6069,Abort
98,AAPL,sell,608,9407,Abort
45,RELIANCE,buy,2278,1867,Abort
38,tsla,buy,1743,596,Abort
72,SBIN,sell,2331,3567,Abort
10,ACN,buy,22,8714,Abort
42,MSFT,buy,1456,4477,Success
81,RELIANCE,sell,2229,5334,Abort
93,MSFT,buy,1488,7057,Success
61,MSFT,sell,403,4964,Abort
73,TATA MOTORS,sell,2276,104,Abort
69,AMZN,sell,1538,1347,Success
22,MSFT,sell,220,3579,Abort
71,AMZN,buy,1983,4380,Success
96,AMZN,buy,2248,5599,Success
40,AMZN,buy,2331,1918,Success
75,MSFT,sell,2104,1788,Abort
85,RELIANCE,buy,1114,9006,Success
96,ACN,sell,675,3594,Success
19,AMZN,sell,1456,888,Success
22,MSFT,buy,2301,3488,Abort
89,TATA MOTORS,buy,2089,8130,Abort
20,MSFT,sell,1309,3537,Abort
80,HDFC BANK,sell,2310,1752,Abort
29,TATA MOTORS,sell,306,1139,Abort
83,RELIANCE,sell,91,1038,Success
19,ITC,buy,1669,8322,Abort
46,ITC,sell,572,1562,Abort
73,TATA MOTORS,sell,726,2555,Abort
48,TATA MOTORS,sell,1654,681,Success
87,AMZN,sell,1230,3424,Abort
35,RELIANCE,buy,1225,4867,Success
98,RELIANCE,buy,880,6849,Success
95,ACN,sell,2357,177,Abort
96,AMZN,buy,1385,8291,Success
95,MSFT,sell,658,6049,Success
81,MSFT,buy,2138,7495,Success
88,HDFC BANK,sell,1845,5978,Success
92,RELIANCE,sell,702,3370,Abort
97,ACN,sell,507,385,Success
3,RELIANCE,buy,107,1292,Success
0,AMZN,sell,2127,5184,Abort
76,tsla,sell,2071,6401,Success
89,RELIANCE,buy,749,6967,Success
56,AAPL,buy,1812,4459,Abort
21,MSFT,buy,588,5666,Abort
92,AMZN,sell,1543,6839,Abort
6,ACN,sell,30,9550,Success
28,AAPL,sell,1269,9884,Success
36,RELIANCE,sell,2291,1550,Abort
